ID,Doc ID,Sentence,Sen_ID,Emiten Code,Emiten Name,Label
1726,614,kata jsmr terus laku evaluasi butuh dana masuk terbit obligasi,36,JSMR,Jasa Marga (Persero) Tbk. [S],0
3625,1346,dalam selenggara public expose bursa efek indonesia  direktur uang wton imam sudiyono jelas dana lepas saham treasuri guna wika beton wton salah satu sumber dana belanja modal tahun,19,WIKA,Wijaya Karya (Persero) Tbk. [S],0
2761,1003,adhi catat utang jangka panjang besar  triliun angka sebut naik  sejak awal tahun,24,ADHI,Adhi Karya (Persero) Tbk. [S],0
3934,1459, arti untr revisi target jual alat berat banyak kali tahun,16,UNTR,United Tractors Tbk. [S]	,0
4310,1593,baca juga  sebab kerja indeks idx  maksimal sejak awal tahun analis jasa capital utama sekuritas chris apriliony nilai saham astra international  asi tarik turun harga saham cukup signifikan banding kerja uang,12,ASII,Astra International Tbk. [S],0
1859,649,baca juga ayam brasil siap serbu indonesia saham emiten ayam cpin jpfa main merah bila lihat indeks lq baru terbit bursa efek indonesia  jpfa duduk peringkat pertama  gainers naik tinggi ,15,CPIN,Charoen Pokphand Indonesia Tbk. [S],0
1103,379, proyeksi dapat inco tumbuh jadi  juta laba bersih catat turun juta,49,INCO,Vale Indonesia Tbk. [S],0
2100,719,dalam tiga bulan akhir credit suisse sekuritas indonesia catat broker jual saham hmsp jual bersih paling besar,10,HMSP,HM Sampoerna Tbk.,0
2923,1072, saham bbni tutup turun  hari,13,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
3492,1306,jadi imbas cashflow klbf turun,21,KLBF,Kalbe Farma Tbk. [S],0
1923,676,saham adhi turun hingga  jadi,6,ADHI,Adhi Karya (Persero) Tbk. [S],0
1544,556,meski merosot  dapat konstruksi jadi sumber dapat besar jsmr angka besar  triliun  total dapat,7,JSMR,Jasa Marga (Persero) Tbk. [S],0
527,149,saham jual bersih besar asing bank mandiri  bmri  miliar sampoerna  hmsp  miliar indocement tunggal prakarsa  intp  miliar,20,HMSP,HM Sampoerna Tbk.,0
2766,1006, utang anak usaha adhi total  miliar,10,ADHI,Adhi Karya (Persero) Tbk. [S],0
4362,1635,saham jual bersih besar asing bank rakyat indonesia  bbri  miliar semen indonesia  smgr  miliar tlkm  miliar,18,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],0
2798,1013,saham jual bersih besar asing bank negara indonesia  bbni  miliar bank central asia  bbca  miliar semen indonesia  smgr  miliar,19,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
3600,1342,baca juga wijaya karya  wika rencana lepas juta saham treasuri tahun analis jasa utama capital sekuritas chris apriliony jelas jual saham treasuri terlalu mudah,14,WIKA,Wijaya Karya (Persero) Tbk. [S],0
1904,670,baca juga tanpa blue band dapat unilever unvr tumbuh tipis premium bursa efek indonesia  catat total nilai transaksi saham unvr capai  miliar,20,UNVR,Unilever Indonesia Tbk. [S],0
4287,1585,adapun sebab gerus laba ssms karena angka jual merosot  panjang semester -  triliun jadi  triliun,8,SSMS,Sawit Sumbermas Sarana Tbk. [S],0
1711,613, saham cpin turun  level,10,CPIN,Charoen Pokphand Indonesia Tbk. [S],0
2045,702,banding tutup kamis  harga saham bbri turun ,32,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
2314,804,indofood  sukses makmur  icbp saham icbp peluang alami koreksi teknikal uji support ma sekaligus support bullish channel rebound uji resist upper line bollinger,12,ICBP,Indofood CBP Sukses Makmur Tbk. [S],0
2252,785, arti agribisnis asi alami turun hingga,20,ASII,Astra International Tbk. [S],0
3849,1433,matahari department store lppf  rejeki isman  sril adaro energy  adro ada posisi tiga pertama daftar saham lq  positif kecil rurut masing-masing  kali  kali  kali,11,LPPF,Matahari Department Store Tbk. [S],0
552,156,hari senin  saham hmsp tutup koreksi hingga poin,18,HMSP,HM Sampoerna Tbk.,0
3815,1418,baca juga  mulyani kan sebab bpjs sehat terus alami defisit kerjasama klbf usaha eropa jaja sedang riset macam produk biologi jelas kontan temu  senayan jumat ,6,KLBF,Kalbe Farma Tbk. [S],0
1225,444,rabu  harga saham bmri turun besar  jadi,12,BMRI,Bank Mandiri (Persero) Tbk.,0
2998,1094,matahari department store  lppf harga saham lppf anjlok  sejak awal tahun level,13,LPPF,Matahari Department Store Tbk. [S],0
4350,1619,  corporindo  akra anggota indeks kompas turun ,19,AKRA,AKR Corporindo Tbk. [S],0
1974,688,baca juga kerja semester  kurang muas saham  corporindo akra merosot kendati margin laba bruto tingkat  belum  semester  sementara margin laba usaha tingkat  paruh pertama tahun tahun belum margin ,8,AKRA,AKR Corporindo Tbk. [S],0
2985,1092,turun sebut dampak saham indo tambangraya megah  itmg anggota indeks kompas sentuh level rendah,5,ITMG,Indo Tambangraya Megah Tbk,0
3318,1243, harga saham bbri turun dalam ,8,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
1922,676,saham adhi karya  adhi elnusa  elsa waskita beton precast  wsbp banyak landa aksi jual harga merosot akhir dagang jumat ,5,WSBP,Waskita Beton Precast Tbk.,0
3038,1113,sementara chris nilai tekan saham ptba lebih sebab turun harga komoditas batubara tekan ptba emiten batubara lain,37,PTBA,Tambang Batubara Bukit Asam (Persero) Tbk. [S],0
4131,1520,baca juga ihsg minus  saham bmri bbri bbni bbtn bbca kompak merah  urut lanjut saham tbms harga naik  level   saham,9,BBTN,Bank Tabungan Indonesia (Persero) Tbk.,0
3851,1443,awal pekan saham bank  bbri gerak zona merah,4,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
1530,544,saham jual bersih besar asing smartfren telecom  fren  miliar bank mandiri  bmri  miliar telekomunikasi indonesia  tlkm  miliar,20,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],0
2871,1045, saham bbri tutup turun  hari,13,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
2228,772,baca juga tiga saham turun rekam bmri bbri bbni bbtn bbca  kblm pimpin daftar saham  gainers senin ,11,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
2453,863,sedang  semester satu tahun aset ggrm susut jadi  triliun,26,GGRM,Gudang Garam Tbk.,0
1824,641,maka cukup sulit inkp naik tumbuh jual laba jelas yosua,15,INKP,Indah Kiat Pulp & Paper,0
1398,488,saham nahas sril ptba bank tabung negara  bbtn medco energy medc media nusantara citra  mncn tiga saham turun harga adro indo tambangraya megahtbk itmg elnusa  elsa waskita beton precast  wsbp,15,MNCN,Media Nusantara Citra Tbk. [S],0
2810,1019,namun segi ebitda tlkm golong murah,25,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],0
2887,1055,seret lemah ihsg jumlah saham emiten pakan ternak poultry charoen pokphand indonesia  cpin japfa comfeed indonesia  jpfa malindo feedmill  main ikut gerus,6,CPIN,Charoen Pokphand Indonesia Tbk. [S],0
3281,1219,posisi lanjut isi ptba untr itmg mncn bbtn bbni inkp lawan ihsg hijau enam saham lq  rendah turun harga banding tutup belum,12,PTBA,Tambang Batubara Bukit Asam (Persero) Tbk. [S],0
1834,641,apalagi inkp kena shipping cost tinggi segi harga kompetitif benua amerika tambah yosua,31,INKP,Indah Kiat Pulp & Paper,0
2641,949,banding harga tutup selasa  arti harga saham bbri turun ,7,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
648,195,saham jual bersih besar asing tlkm  miliar vale indonesia  inco  miliar bukit asam  ptba  miliar,19,INCO,Vale Indonesia Tbk. [S],0
2011,692,jika banding harga tinggi harga saham hmsp akhir pekan lalu turun hingga,13,HMSP,HM Sampoerna Tbk.,0
3251,1204,turun harga dangkal jadi saham bank central asia  bbca turun harga dalam timpa harga saham bank negara indonesia  bbni,6,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
1082,375,ikut turut saham bmri bbca bbni jadi berat ihsg,13,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
3354,1252, saham bbri tutup turun hari,13,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
230,55, tambah sisi teknikal naik harga excl lihat indikator  bawah angka alias sangat jenuh jual,24,EXCL,XL Axiata Tbk.,0
1576,563,saham bbni saham bmri saham bbri saham bbca masuk saham sektor uang turut merah sama ihsg,7,BMRI,Bank Mandiri (Persero) Tbk.,0
2581,916,namun total piutang bpjs klbf besar  miliar  miliar total bisnis pharma masuk generik  generik kata mulia kontan,7,KLBF,Kalbe Farma Tbk. [S],0
1995,690,baca juga  kocok ulang huni idx daftar lengkap namun dagang kemarin jumat  saham medc hasil darat zona hijau,8,MEDC,Medco Energi Internasional Tbk,0
2874,1046,hanya saham telekomunikasi indonesia  tlkm gerak datar naik,21,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],0
2051,702,sejak awal dagang bbni buka bawah harga tutup hari belum tepat harga,48,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
1885,666,tiga saham bakal depak indeks lq adhi karya  adhi elnusa  elsa waskita beton precast  wsbp kompak lanjut lemah sejak awal dagang pagi tadi,4,ELSA,Elnusa Tbk. [S],0
2033,702,agak kejut memang harga bmri bbri bbni bbtn bbca serentak turun,5,BMRI,Bank Mandiri (Persero) Tbk.,0
2629,944,baca juga ihsg kuat  akhir dagang rabu  sedang tiga saham keluar daftar indeks likuid adhi karya  adhi elnusa  elsa waskita beton precast  wsbp,11,ADHI,Adhi Karya (Persero) Tbk. [S],0
3152,1157,saham jual bersih besar asing bank rakyat indonesia  bbri  miliar astra international  asi  miliar bank central asia  bbca  miliar,23,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
1624,577,sedang jual bersih besar asing jadi saham bbni  miliar telekomunikasi indonesia  tlkm miliar lppf miliar,17,LPPF,Matahari Department Store Tbk. [S],0
292,69,cara year date  naik harga saham telekomunikasi indonesia  tlkm anggota indeks kompas terlalu fantastis banding saing,4,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],0
1205,433, indofood sukses makmur  indf turun ,16,INDF,Indofood Sukses Makmur Tbk. [S],0
2926,1073,dalam lapor uang akra semester  dapat akra catat besar  triliun turun besar  year year ,5,AKRA,AKR Corporindo Tbk. [S],0
3260,1204,baca juga tujuh saham turun  saham lq  rendah agustus  saham lanjut bank central asia  bbca turun,23,BBCA,Bank Central Asia Tbk.,0
2007,692,posisi tutup sebut rupa rekor harga saham hmsp rendah panjang tiga tahun akhir,7,HMSP,HM Sampoerna Tbk.,0
2292,798,baca juga aksi jual asing tinggi meski ihsg naik lebih kata analis samuel dasar data  beberapa usaha bbtn anggota indeks kompas bbni anggota indeks kompas tbig anggota indeks kompas jadi saham paling banyak jual asing,20,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
1412,504,turut data  pukul saham bmri turun  level,5,BMRI,Bank Mandiri (Persero) Tbk.,0
3382,1260,saham jual bersih besar asing bank rakyat indonesia  bbri  miliar kalbe farma  klbf  miliar bank negara indonesia  bbni  miliar,15,KLBF,Kalbe Farma Tbk. [S],0
2582,916,baca juga semester - jual kalbe farma klbf naik  mulia jelas rasio tunggak dapat pharma besar -,10,KLBF,Kalbe Farma Tbk. [S],0
2276,791,laba bersih usaha  saham milik asi catat turun laba bersih jadi miliar,16,ASII,Astra International Tbk. [S],0
1285,459,belum juni lalu harga saham bbri sempat turun besar ,11,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
2144,741,saham jual bersih besar asing matahari department store  lppf  miliar gudang garam  ggrm  miliar bbni  miliar,15,GGRM,Gudang Garam Tbk.,0
1393,488,saham nahas sril ptba bank tabung negara  bbtn medco energy medc media nusantara citra  mncn tiga saham turun harga adro indo tambangraya megahtbk itmg elnusa  elsa waskita beton precast  wsbp,15,ADRO,Adaro Energy Tbk [S],0
1039,355, media nusantara citra  mncn anggota indeks kompas turun ,14,MNCN,Media Nusantara Citra Tbk. [S],0
3231,1200, ingat jarak terlalu jauh beban logistik jelas yulius gozali selaku direktur hubung investor itmg kontan,14,ITMG,Indo Tambangraya Megah Tbk,0
2101,719,sementara jual saham hmsp besar posisi tiga macquarie sekuritas indonesia,12,HMSP,HM Sampoerna Tbk.,0
1673,591,pada kuartal - isat catat ebitda tumbuh periode sama tahun lalu telkomsel turun excl turun,18,EXCL,XL Axiata Tbk.,0
2899,1062,chandra asri petrochemical  tpia saham tpia milik timbang muncul inverted hammer candle stochastic ada area death cross sekaligus indikasi harga overbought volume dagang turun,13,TPIA,Chandra Asri Petrochemical Tbk.,0
1077,375,turun harga saham emiten bank besar bmri anggota indeks kompas bbca anggota indeks kompas bbni anggota indeks kompas andil gerus ihsg,6,BBCA,Bank Central Asia Tbk.,0
1866,650,saham adhi elsa wsbp merosot awal dagang pagi hari hingga jeda siang,10,WSBP,Waskita Beton Precast Tbk.,0
1290,459,investor asing dagang kemarin catat aksi jual bersih alias  sell saham bbri besar miliar,20,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
3275,1219,matahari department store lppf  rejeki isman  sril adaro energy  adro ada posisi tiga pertama daftar saham lq  positif kecil rurut masing-masing  kali  kali  kali,11,SRIL,Sri Rejeki Isman Tbk.,0
2884,1052,saham bbca sumbang  poin turun ihsg,14,BBCA,Bank Central Asia Tbk.,0
1747,622, lantar tumbuh dapat unvr besar  banding semester -,7,UNVR,Unilever Indonesia Tbk. [S],0
2975,1087,analis ciptadana sekuritas arief budiman riset tambah tekan medc asal beban bunga,13,MEDC,Medco Energi Internasional Tbk,0
2999,1094,adapun kerja uang lppf tunjuk turun dapat   jadi  triliun,15,LPPF,Matahari Department Store Tbk. [S],0
528,149,saham jual bersih besar asing bank mandiri  bmri  miliar sampoerna  hmsp  miliar indocement tunggal prakarsa  intp  miliar,20,INTP,Indocement Tunggal Prakasa Tbk. [S],0
1091,379,thomas radityo analis ciptadana sekuritas asia catat turun kerja inco kuartal  jadi harga jual rata average selling price  turun  tahun,14,INCO,Vale Indonesia Tbk. [S],0
2000,690,kemarin invesor asing catat aksi jual bersih alias  sell saham medc nila  miliar,13,MEDC,Medco Energi Internasional Tbk,0
659,207,saham jual bersih besar asing telekomunikasi indonesia  tlkm  miliar charoen pokphand indonesia  cpin  miliar bukit asam  ptba  miliar,17,CPIN,Charoen Pokphand Indonesia Tbk. [S],0
2989,1092,cara teknikal saham itmg prediksi william turun support dekat,15,ITMG,Indo Tambangraya Megah Tbk,0
1715,614,jsmr catat dapat turun jadi  triliun semester -,7,JSMR,Jasa Marga (Persero) Tbk. [S],0
2870,1045,sejak pagi saham bbri buka bawah harga tutup hari belum tepat harga,8,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
1551,556,arus  jsmr turun tipis,19,JSMR,Jasa Marga (Persero) Tbk. [S],0
1509,528,mas rekomendasi netral bbca sell intp level,39,BBCA,Bank Central Asia Tbk.,0
2763,1006,utang obligasi jatuh tempo sebut asal terbit obligasi lanjut adhi tahap  seri bunga tetap  jangka waktu tahun obligasi lanjut adhi tahap  seri suku bunga tetap besar  jangka waktu tahun,6,ADHI,Adhi Karya (Persero) Tbk. [S],0
2209,766,bank tabung negara  bbtn turun  senin  saham bbtn tutup merah,52,BBTN,Bank Tabungan Indonesia (Persero) Tbk.,0
2843,1032,kendati sekretaris usaha asri tony rudianto maklum turun sebut,6,ASRI,Alam Sutera Reality Tbk. [S],0
260,59,saya lupa angka tengah tahun triliun serap banyak produksi habis carryover tahun lalu kata sekretaris usaha wika mahendra vijaya rabu ,6,WIKA,Wijaya Karya (Persero) Tbk. [S],0
4427,1659,saham jual bersih besar asing bbri  miliar bank mandiri  bmri  miliar indah kiat pulp  paper  inkp miliar,20,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
2759,1003,baca juga bakal depak indeks lq begini gerak saham adhi elsa wsbp sesi rencana guna dana oleh tawar umum obligasi rang biaya emisi guna sepenuh adhi modal kerja proyek  proyek infrastruktur lain,16,WSBP,Waskita Beton Precast Tbk.,0
2522,891,saham jual bersih besar asing asi  miliar bank rakyat indonesia  bbri  miliar ciputra development  ctra  miliar,15,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
1282,459,  saham harga saham bbri kemarin turun ,8,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
2750,1002,laba smgr tekan akibat lonjak beban uang capai  triliun,12,SMGR,Semen Indonesia (Persero) Tbk. [S],0
2049,702,bank negara indonesia  bbni turun  jumat  saham bbni turun harga,44,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
3766,1386, arti harga saham pgas turun ,9,PGAS,Perusahaan Gas Negara (Persero) Tbk. [S],0
3145,1151, united tractors  untr turun ,12,UNTR,United Tractors Tbk. [S]	,0
4149,1526,dapat inco turun  jadi  juta semester pertama tahun,23,INCO,Vale Indonesia Tbk. [S],0
3074,1128,meski tengah getol diversifikasi segmen  batubara leonardus aku kontribusi sektor  batubara  profit indy sangat kecil,27,INDY,Indika Energy Tbk.,0
1086,379,kutip lapor uang kuartal - dapat inco catat lemah  jadi  juta  juta periode sama tahun lalu,6,INCO,Vale Indonesia Tbk. [S],0
2365,833,baca juga kompak turun ringkas dagang bmri bbri bbni bbtn bbca ,19,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
1915,675,dalam satu minggu harga hmsp turun ,15,HMSP,HM Sampoerna Tbk.,0
2540,903,volume jual nikel matte inco semester - turun  year year jadi,20,INCO,Vale Indonesia Tbk. [S],0
3279,1219,posisi lanjut isi ptba untr itmg mncn bbtn bbni inkp lawan ihsg hijau enam saham lq  rendah turun harga banding tutup belum,12,ITMG,Indo Tambangraya Megah Tbk,0
1304,466,panjang semester  jual smgr tekan besar ,17,SMGR,Semen Indonesia (Persero) Tbk. [S],0
2057,702, arti harga saham bbtn turun ,61,BBTN,Bank Tabungan Indonesia (Persero) Tbk.,0
1967,687,emiten kode saham antm anggota indeks kompas milik beberapa proyek hilir salah satu bangun smelter grade alumina refinery sgar mempawah kalimantan barat kalbar,5,ANTM,Aneka Tambang Tbk. [S],0
1538,550,saham jual bersih besar asing surya citra media  scma  miliar telekomunikasi indonesia  tlkm  miliar bank negara indonesia  bbni  miliar,16,BBNI,Bank Negara Indonesia (Persero) Tbk.,0
1606,563,bank central asia  bbca kemarin  saham bank central asia  bbca tutup lemah,76,BBCA,Bank Central Asia Tbk.,0
2643,949, saham bbri tutup turun hari,13,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,0
970,338,bobot saham indf jadi lebih tinggi icbp lama kenal salah satu saham harga premium ungkap suria rabu ,12,ICBP,Indofood CBP Sukses Makmur Tbk. [S],0
2012,692,investor asing panjang tiga tahun terkhir catat aksi jual bersih alias  sell saham hmsp,14,HMSP,HM Sampoerna Tbk.,0
2153,747,alhasil saham hmsp sempat landa aksi jual lantar banyak fund manager racik ulang portofolio,19,HMSP,HM Sampoerna Tbk.,0
2404,852,bentuk pola sebut dukung lemah lebih lanjut inco tuju level support ikut,9,INCO,Vale Indonesia Tbk. [S],0
749,245,bahkan tiga bulan akhir saham unvr minus ,14,UNVR,Unilever Indonesia Tbk. [S],0
2631,944,baca juga ihsg kuat  akhir dagang rabu  sedang tiga saham keluar daftar indeks likuid adhi karya  adhi elnusa  elsa waskita beton precast  wsbp,11,WSBP,Waskita Beton Precast Tbk.,0
3966,1473,  saham bank mandiri  bmri stagnan level,20,BMRI,Bank Mandiri (Persero) Tbk.,0
1481,523, saham bmri tutup turun   saham,15,BMRI,Bank Mandiri (Persero) Tbk.,0
4045,1490,baca juga butuh dana usaha  negara pgas kaji rencana terbit obligasi bagai informasi  semester - pgas serap capex banyak juta,8,PGAS,Perusahaan Gas Negara (Persero) Tbk. [S],0
3866,1445,namun credit suisse securities indonesia tahan status adro level outperform target harga,16,ADRO,Adaro Energy Tbk [S],0
4048,1490,baca juga akan lepas pgas baik internal saka energi indonesia selain capex sebut guna selesai proyek pipa transmisi duri-dumai tahap panjang bangun proyek pipa gresik-semarang jauh ,16,PGAS,Perusahaan Gas Negara (Persero) Tbk. [S],0
2765,1006,utang bank jangka pendek adhi diri utang bank pihak relas nila  triliun bank pihak tiga total  triliun,9,ADHI,Adhi Karya (Persero) Tbk. [S],0
711,241,cara fundamental rudy sorot kerja adhi panjang kuartal - pantau alami turun,16,ADHI,Adhi Karya (Persero) Tbk. [S],0
2892,1055,baca juga ihsg anjlok  saham bbri bbca tlkm jadi gerus senin  ikut saham main anggota indeks kompas merosot  jadi,10,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],0
2903,1066,analis panin sekuritas william hartanto nilai kerja lppf depan peluang tekan,6,LPPF,Matahari Department Store Tbk. [S],0
2883,1052,lanjut saham bbca anggota indeks kompas harga turun  jadi,12,BBCA,Bank Central Asia Tbk.,0
924,320, adaro energy  adro anggota indeks kompas turun ,16,ADRO,Adaro Energy Tbk [S],0
3277,1219,posisi lanjut isi ptba untr itmg mncn bbtn bbni inkp lawan ihsg hijau enam saham lq  rendah turun harga banding tutup belum,12,BBTN,Bank Tabungan Indonesia (Persero) Tbk.,0
2367,833,baca juga kompak turun ringkas dagang bmri bbri bbni bbtn bbca ,19,BBTN,Bank Tabungan Indonesia (Persero) Tbk.,0
1803,632, karena jual domestik itmg volume lebih kecil adro ptba,16,ITMG,Indo Tambangraya Megah Tbk,0
1573,563,saham bbni saham bmri saham bbri saham bbca masuk saham sektor uang turut merah sama ihsg,7,BBCA,Bank Central Asia Tbk.,0
