level_0,index,ID,Doc ID,Sentence,Sen_ID,Emiten Code,Emiten Name,Label
227,1417,2154,748,baca juga ihsg kuat simak rekomendasi saham antm wsbp adhi aces sektor infrastruktur cetak naik besar ,9,ADHI,Adhi Karya (Persero) Tbk. [S],1
229,500,720,241,analis  sekuritas sukarno alatas kata banding emiten konstruksi plat merah rasio profitabilitas adhi alami tumbuh tarik,30,ADHI,Adhi Karya (Persero) Tbk. [S],1
230,2625,3797,1407, arti harga saham bbri naik ,8,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,1
232,2848,4058,1491,baca juga harga batubara rendah tahun bukit asam ptba rekomendasi hold upaya tekan beban turun jarak pindah overburden evaluasi dian bahan bakar alternatif guna sedia internal kontrol biaya overhaul alat berat jasa timbang replacement jadi repairment reuse,20,PTBA,Tambang Batubara Bukit Asam (Persero) Tbk. [S],1
234,2868,4079,1497,meski istata kata mungkin proyek infrastruktur jadi ggrm milik lini bisnis baru,16,GGRM,Gudang Garam Tbk.,1
235,1404,2141,741,saham beli bersih besar asing tlkm  miliar bank rakyat indonesia  bbri  miliar bank central asia  bbca miliar,14,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,1
236,3089,4363,1635,saham beli bersih besar asing bank yudha bhakti  bbyb miliar sampoerna  hmsp  miliar sarana menara nusantara  towr  miliar,19,HMSP,HM Sampoerna Tbk.,1
237,2469,3605,1344, beli saham keluar usaha buka ptba penuh tentu tetap harga ikut,10,PTBA,Tambang Batubara Bukit Asam (Persero) Tbk. [S],1
238,632,894,301,dasar fitch rating catat obligasi terbit wsbp dapat peringkat  masuk investment grade,17,WSBP,Waskita Beton Precast Tbk.,1
240,5,12,3,media nusantara citra  mncn tebar dividen besar  saham tara  miliar,4,MNCN,Media Nusantara Citra Tbk. [S],1
241,252,355,82,meski terpa   sedap sebut saham adro malah lanjut naik dagang jumat ,6,ADRO,Adaro Energy Tbk [S],1
242,886,1297,463,adro kuartal satu tahun catat laba periode jalan diatribusikan milik entitas induk besar  juta tumbuh  periode sama tahun belum,23,ADRO,Adaro Energy Tbk [S],1
243,2483,3620,1346,sejak awal tahun  harga saham wika tingkat ,14,WIKA,Wijaya Karya (Persero) Tbk. [S],1
246,2509,3648,1354,baca juga realisasi kontrak baru waskita beton wsbp  triliun hingga juli  fathia lanjut pabrik baru bangun dana investasi besar  miliar rencana rampung operasi awal tahun ,10,WSBP,Waskita Beton Precast Tbk.,1
247,1755,2615,933,lanjar rekomendasi lsip inkp smbr bbni bbtn bbca pgas indy wege adhi untr akra akumulasi dagang esok hari,20,AKRA,AKR Corporindo Tbk. [S],1
249,12,24,6,mahendra tambah proyek luar negeri wika oleh kontrak besar  miliar salah satu proyek huni subsidi aljazair,8,WIKA,Wijaya Karya (Persero) Tbk. [S],1
255,2364,3452,1291,dengan terbit obligasi tahap wsbp milik jatah terbit  triliun,9,WSBP,Waskita Beton Precast Tbk.,1
258,2017,2974,1087,kutip riset rilis agustus lalu  rate medc semester - capai ,11,MEDC,Medco Energi Internasional Tbk,1
260,384,555,156,wawan bilang investor manfaat momentum turun saham hmsp unvr laku akumulasi beli,21,UNVR,Unilever Indonesia Tbk. [S],1
264,74,106,30,saat rekomendasi investor  saham saham bsde ctra hold saham asri dmas pwon smra,48,BSDE,Bumi Serpong Damai Tbk. [S],1
266,1905,2834,1025,catat dapat bersih untr capai  triliun paruh pertama tahun  besar  triliun,17,UNTR,United Tractors Tbk. [S]	,1
267,2153,3154,1157,saham beli bersih besar asing telekomunikasi indonesia  tlkm  miliar indofood  sukses makmur  icbp sinar  multiartha  smma  miliar,24,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],1
268,1553,2316,808, rejeki isman  sril adaro energy  adro batubara bukit asam  ptba ada posisi tiga pertama daftar saham lq  positif kecil rurut masing-masing  kali  kali  kali,12,ADRO,Adaro Energy Tbk [S],1
270,2505,3644,1352,baca juga jasa marga jsmr optimistis capai target,16,JSMR,Jasa Marga (Persero) Tbk. [S],1
272,2181,3191,1178,lanjar rekomendasi saham wsbp wton myor hoki bbni pnbn bnli gmfi asi adro indy tins wskt ptpp untr akra map,21,WSKT,Waskita Karya (Persero) Tbk. [S],1
273,1890,2816,1022,meski tumbuh paling besar nilai laba bersih ggrm unggul laba bersih hanjaya mandala sampoerna  hmsp,9,HMSP,HM Sampoerna Tbk.,1
275,2770,3969,1473,frederick rekomendasi beli saham bank buku bank  indonesia  pnbn bank negara indonesia  bbni bank cimb niaga  bnga,39,BBNI,Bank Negara Indonesia (Persero) Tbk.,1
277,538,771,249,baca juga saham  bbri pecah rekor kalkulasi laba investor untung besar jelas nikmat beli saham bank plat merah sejak tawar publik perdana  november  silam jual sekarang,21,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,1
279,1528,2289,796,baca juga  alas saham hmsp balik arah zona hijau jika   putus  rate asing tarik beli saham tutup suria,26,HMSP,HM Sampoerna Tbk.,1
280,1297,1987,689,dengan akuisisi pabrik sebut intp dapat tambah kapasitas produksi besar  juta ,19,INTP,Indocement Tunggal Prakasa Tbk. [S],1
281,1594,2374,841,telah kemarin hasil darat zona hijau saham sampoerna hmsp dagang pagi buka zona merah,4,HMSP,HM Sampoerna Tbk.,1
285,243,345,79,untuk excl siap belanja modal  tahun,21,EXCL,XL Axiata Tbk.,1
287,544,777,254,saham beli bersih besar asing astra international  asi  miliar bank mandiri  bmri  miliar bank rakyat indonesia  bbri  miliar,23,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,1
293,899,1360,473,dengan realisasi jual batubara untr hingga tahun capai target,37,UNTR,United Tractors Tbk. [S]	,1
294,1132,1741,615,saham beli bersih besar asing  rejeki isman  sril  miliar gudang garam  ggrm  miliar united tractors  untr  miliar,21,SRIL,Sri Rejeki Isman Tbk.,1
297,461,657,207,saham beli bersih besar asing bank rakyat indonesia  bbri  miliar bank mandiri  bmri  miliar sarana menara nusantara  towr  miliar,16,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,1
299,2162,3167,1162,baca juga simak rekomendasi saham simp bbtn tpia hari cara fundamental laba bersih  saham earning  share  price earning ratio  saham tpia capai  kali,23,TPIA,Chandra Asri Petrochemical Tbk.,1
303,1608,2409,855,direktur utama indofood sukses makmur  indofood  sukses makmur  icbp anthoni salim aku puas kerja baik panjang semester -,6,ICBP,Indofood CBP Sukses Makmur Tbk. [S],1
304,2478,3614,1345,guna penuh perlu dana wsbp rencana terbit obligasi tahap kuartal -,19,WSBP,Waskita Beton Precast Tbk.,1
308,69,101,25,saham beli bersih besar asing bank rakyat indonesia  bbri  miliar telekomunikasi indonesia  tlkm  miliar bank central asia  bbca  miliar,21,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],1
310,2728,3921,1456,astra internasional  asi anggota indeks kompas tarik terus tingkat investasi sektor infrastruktur,4,ASII,Astra International Tbk. [S],1
311,2331,3407,1283,sehingga kerja usaha nilai akuisisi capai  juta poundsterling mulai konsolidasi buku medc sejak awal juni ,5,MEDC,Medco Energi Internasional Tbk,1
312,2484,3621,1346,baca juga wijaya karya wika ptpp jadi emiten pelat merah gearing rasio baik hingga wika aku milik standby buyer serap saham treasuri milik,15,PTPP,PP (Persero) Tbk. [S],1
316,637,899,303,kalbe farma  klbf target tumbuh jual tahun hingga,4,KLBF,Kalbe Farma Tbk. [S],1
319,36,61,11,kurniawan sebut target hingga akhir tahun produksi pulp inkp capai  juta - juta   tahun,20,INKP,Indah Kiat Pulp & Paper,1
320,2083,3068,1128,diversifikasi usaha laku indy sejak tahun lalu bidang jasa konsultasi hingga tambang emas,14,INDY,Indika Energy Tbk.,1
322,3105,4391,1646,adapun klbf lihat peluang bisnis hasil jual lebih  miliar kurun waktu beberapa tahun,13,KLBF,Kalbe Farma Tbk. [S],1
324,2742,3939,1461,presiden direktur asi prijono sugiarto baik seluruh kerja anak usaha masuk bank permata,5,ASII,Astra International Tbk. [S],1
326,2562,3721,1374,dalam bulan akhir saham bbca bbri saing posisi pertama daftar saham buku nilai jual bersih asing alias  sell paling besar,5,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,1
332,818,1198,432,saat dagang buka saham cpin buka atas harga tutup hari belum tepat harga,8,CPIN,Charoen Pokphand Indonesia Tbk. [S],1
333,2554,3713,1372,baca juga  investor asing makin masif lego saham bbri pada dagang selasa  lalu investor asing mulai buku beli bersih alias   saham bmri nila  miliar,9,BMRI,Bank Mandiri (Persero) Tbk.,1
336,2769,3968,1473,  saham bank central asia  bbca kuat  level,22,BBCA,Bank Central Asia Tbk.,1
337,519,744,245,saham unilever  unvr rupa salah satu saham paling banyak buru bursa efek indonesia  beberapa tahun akhir,4,UNVR,Unilever Indonesia Tbk. [S],1
338,2988,4243,1551,elnusa  elsa gera harga tahan atas garis bawah bollinger lihat pola bullish haram candlestick pattern indikasi ada potensi stimulus beli,55,ELSA,Elnusa Tbk. [S],1
341,1000,1520,536,adapun saham pilih credit suisse telekomunikasi indonesia  tlkm tower sama infrastructure  tbig sarana menara nusantara  towr wijaya karya  wika waskita karya  wskt sampoerna  hmsp astra international  asi bank negara indonesia  bbni  hardware indonesia  aces semen indonesia  smgr,5,SMGR,Semen Indonesia (Persero) Tbk. [S],1
344,1123,1728,614,selain jsmr cukup leluasa tarik pinjam bank,39,JSMR,Jasa Marga (Persero) Tbk. [S],1
346,1091,1684,597,saham beli bersih besar asing  rejeki isman  sril  miliar gudang garam  ggrm  miliar surya semesta internusa  ssia  miliar,15,GGRM,Gudang Garam Tbk.,1
349,2540,3682,1359,baca juga indf konsisten beli saham indoagri penuh butuh delisting william bilang investor tunggu lapor dua emiten kuartal   lihat kerja,16,INDF,Indofood Sukses Makmur Tbk. [S],1
350,142,209,54,pada kuartal  lalu asi kucur dana besar  miliar belanja modal unit bisnis properti,7,ASII,Astra International Tbk. [S],1
351,935,1416,504,sementara analis mirae sekuritas asset indonesia tasrul riset kata harga saham bmri coba naik dekat tembus normal lower band uptrend channel,13,BMRI,Bank Mandiri (Persero) Tbk.,1
355,2320,3385,1260,saham beli bersih besar asing telekomunikasi indonesia  tlkm  miliar indofood  sukses makmur  icbp  miliar bank mandiri  bmri  juta,16,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],1
356,3037,4298,1591,direktur utama axiata  excl dian siswarini kata diskusi merger induk excl axiata group tenor  norwegia terus lanjut,4,EXCL,XL Axiata Tbk.,1
357,2615,3787,1389,adapun saham ubah harga sril bukit asam  ptba,18,SRIL,Sri Rejeki Isman Tbk.,1
358,10,22,6,wijaya karya  wika tahun target oleh kontrak baru besar  triliun,4,WIKA,Wijaya Karya (Persero) Tbk. [S],1
361,2883,4098,1499,selasa  saham tlkm telekomunikasi indonesia  tutup hijau,4,TLKM,Telekomunikasi Indonesia (Persero) Tbk. [S],1
362,521,746,245,dalam jangka panjang investasi saham unvr beri cuan giur,7,UNVR,Unilever Indonesia Tbk. [S],1
